,unique,name,transportation,aid,population,education,graduation,reduced_lunch,homeless,multilingual,tax,budget_cuts ,gender,percent_of _low_income_students,funding,salary
Camden,2130,Hi Nella,"37,318","1,415,364",,"118,833",92.4,6,5,3,0,0,,,,
Camden,2540,Laurel Springs Boro,"46,209","3,436,820",189,"370,214",80,28,0,0,1,1,1,26,0,1
Camden,2560,Lawnside Boro,"101,997","6,050,714",342,"512,603",91.8,225,175,882,0,1,0,39,0,1
Camden,2670,Lindenwold Boro,"1,000,555","59,524,585",3098,"3,467,193",69.7,24,5,8,0,1,1,81,0,0
Camden,2890,Magnolia Boro,"25,431","3,544,423",399,"434,289",96.6,209,13,790,1,1,1,40,0,0
Camden,3110,Merchantville Boro,"111,609","5,332,606",396,"605,157",54,20,0,35,0,1,0,31,0,0
Camden,3420,Mount Ephraim Boro,"45,548","4,553,404",430,"590,918",53.5,40,1,13,0,1,,,,
Camden,3770,Oaklyn Boro,"16,236","3,571,294",270,"408,050",89.3,14,1,5,0,1,1,30,0,1
Camden,4060,Pennsauken Twp,"2,592,070","77,448,446",4837,"6,137,002",84.5,342,32,416,1,1,1,40,0,0
Camden,4110,Pine Hill Boro,"588,996","24,075,521",1973,"1,703,900",89.6,214,11,91,1,0,1,58,0,1
Camden,4590,Runnemede Boro,"166,787","7,195,392",830,"802,585",82,61,4,17,0,1,1,33,0,0
Camden,4790,Somerdale Boro,"31,147","4,455,152",444,"491,245",32,38,8,5,1,1,1,31,0,0
Camden,5035,Sterling High School Dist,"99,272","10,788,446",881,"875,697",94.6,54,6,21,0,1,1,33,1,1
Camden,5080,Stratford Boro,"202,610","8,225,547",887,"480,205",92,49,6,77,1,1,0,30,0,1
Camden,5400,Voorhees Twp,"602,456","6,081,445",3081,"2,481,453",95,91,8,111,0,1,1,14,1,1
Camden,5560,Waterford Twp,"1,164,511","13,130,858",926,"1,665,961",52.5,41,2,5,1,1,0,21,0,0
Camden,5820,Winslow Twp,"4,039,770","47,700,875",4869,"5,261,304",80.2,292,30,141,0,0,1,45,0,0
Camden,5900,Woodlynne Boro,"54,174","11,645,502",418,"690,591",89.3,37,3,95,`,1,1,82,0,0
Cape May,170,Avalon Boro,"28,649","67,254",92,"35,361",42.3,0,0,0,0,1,1,4,1,1
Cape May,710,Cape May City,"5,993","1,626,192",158,"86,881",40.7,1,0,0,1,1,1,42,0,0
Cape May,720,Cape May Co Vocational,0,"1,396,049",608.5,"548,208",97.6,13,8,2,0,1,0,30,0,0
Cape May,730,Cape May Point,759,"2,027",239.5,0,42.3,53,3.5,0.5,0,1,,,,
Cape May,1080,Dennis Twp,"653,808","1,574,187",639,"504,067",57,48,3,2,0,1,0,24,0,0
Cape May,2820,Lower Cape May Regional,"1,178,704","4,056,959",1126.5,"862,052",67,96,8,37,0,0,1,36,0,1
Cape May,2840,Lower Twp,"836,392","3,797,547",1430,"912,905",52,115,17,96,0,0,1,46,0,0
Cape May,3130,Middle Twp,"1,570,041","13,900,581",2550.5,"1,437,131",92.8,202,199.5,140.5,0,0,1,47,0,0
Cape May,3680,North Wildwood City,"49,582","296,902",165,"143,941",79,10,3,5,1,0,1,79,0,1
Cape May,3780,Ocean City,"252,189","4,529,395",1834,"1,175,389",95.7,40,11,51,0,0,0,18,1,1
Cape May,4700,Sea Isle City,"96,010","177,762",,"33,181",35.9,0,0,0,0,0,,,,
Cape May,5060,Stone Harbor Boro,"19,899","51,952",78,"27,770",89.5,28,5,23,0,1,0,3,1,1
Cape May,5340,Upper Twp,"1,445,583","4,652,149",1369,"1,280,868",98.8,0,1,13,0,0,1,11,1,0
Cape May,5610,West Cape May Boro,"12,628","654,254",82,"89,350",97,34,40,208,1,0,0,16,0,0
Cape May,5700,West Wildwood,"6,184","53,997",,"37,987",83.5,12,1,13,0,0,1,30,1,0
Cape May,5790,Wildwood City,"119,536","1,912,821",729,"542,470",79.2,16,1,18,0,1,1,79,0,1
Cape May,5800,Wildwood Crest Boro,"52,476","599,341",220,"177,729",97.6,29,4,9,0,0,1,30,1,0
Cape May,5840,Woodbine Boro,"164,200","3,473,745",257,"150,703",35.9,33,0,62,1,0,0,72,0,0
Cumberland,540,Bridgeton City,"1,218,523","126,520,588",6102,"6,224,274",81,32,1,83,0,1,1,0,0,0
Cumberland,950,Commercial Twp,"525,199","8,846,023",482,"632,153",43,17,12,17,0,1,1,65,0,0
Cumberland,995,Cumberland Co Vocational,0,"20,239,457",1194,"1,424,081",99.1,82,1,120,0,1,0,32,0,0
Cumberland,997,Cumberland Regional,"785,841","16,934,061",1178,"1,389,347",89.2,17,1,0,1,1,1,39,0,0
Cumberland,1020,Deerfield Twp,"117,514","2,914,889",316,"326,497",81.2,198,0,73,0,1,0,54,0,0
Cumberland,1120,Downe Twp,"143,341","1,378,831",175,"180,615",81.2,0,0,18,0,1,0,45,0,0
Cumberland,1460,Fairfield Twp,"163,986","5,269,552",516,"514,058",73.5,47,0,0,0,1,1,15,0,0
Cumberland,1820,Greenwich Twp,"30,102","576,814",79,"37,201",90.6,317,0,132,0,1,1,33,1,1
Cumberland,2270,Hopewell Twp,"197,184","3,863,980",522,"483,912",81.2,113,0,26,0,1,1,25,0,0
Cumberland,2570,Lawrence Twp,"324,216","6,533,635",490,"534,899",95,36,11,7,0,1,,,,
Cumberland,3050,Maurice River Twp,"345,391","5,811,675",374,"489,904",81.2,0,0,0,0,1,0,38,0,0
Cumberland,3230,Millville City,"1,606,779","71,997,937",5011,"2,788,642",82.7,112,165,217,1,1,0,71,0,0
Cumberland,5070,Stow Creek Twp,"102,421","455,065",136,"131,988",81.2,7,46,85,1,1,0,23,0,0
Cumberland,5300,Upper Deerfield Twp,"575,419","10,053,443",969,"993,383",53.4,123,0,113,0,1,0,54,0,0
Cumberland,5390,Vineland City,"4,794,073","141,016,908",10236,"5,294,946",84.3,92,0,41,1,1,1,0,0,0
Essex,250,Belleville Town,"625,449","54,384,062",5047,"5,723,423",92.8,13,0,5,0,1,1,51,0,1
Essex,410,Bloomfield Twp,"2,013,455","48,647,386",6367.5,"7,648,643",95.1,13,0,0,0,1,1,33,1,0
Essex,660,Caldwell-West Caldwell,"392,032","3,308,617",2525.5,"2,984,836",95,77,4,98,0,1,1,7,1,1
Essex,760,Cedar Grove Twp,"284,386","2,089,420",1539.5,"1,835,674",96.6,10,0,1,0,1,1,5,1,1
Essex,1210,East Orange,"1,172,856","175,087,372",9184.5,"7,715,286",87,34,0,0,1,1,1,56,0,1
Essex,1390,Essex Co Voc-Tech,0,"29,961,159",2074,"2,019,029",97.2,44,0,13,1,1,1,79,0,0
Essex,1400,Essex Fells Boro,"9,597","271,825",247,"268,635",86.9,2,0,0,1,1,1,1,1,0
Essex,1465,Fairfield Twp,"148,937","952,647",703,"820,830",73.5,90,0,114,0,0,1,15,0,0
Essex,1750,Glen Ridge Boro,"156,117","2,189,649",1788.5,"2,044,613",100,38,0,16,1,1,0,1,1,1
Essex,2330,Irvington Township,"1,164,430","138,417,244",7575,"6,835,301",79.6,130,1,159,0,1,1,44,0,1
Essex,2730,Livingston Twp,"1,403,282","8,787,890",6439,"7,775,498",97.9,46,0,7,0,1,1,2,1,1
Essex,3190,Millburn Twp,"1,009,647","6,444,266",4695,"5,589,106",99.4,242,11,17,1,1,1,1,1,1
Essex,3310,Montclair Town,"1,211,898","8,757,817",6100.5,"7,021,827",94.3,42,3,75,1,1,1,12,1,1
Essex,3570,Newark City,"8,523,133","1,149,975,941",42600,"66,136,508",85.7,8,0,14,1,1,1,74,0,1
Essex,3630,North Caldwell Boro,"200,165","964,947",678,"805,906",82.1,3,3,2,0,1,1,1,1,0
Essex,3750,Nutley Town,"631,352","9,419,915",4222,"4,902,593",94,4,0,11,0,1,0,12,1,1
Essex,3880,City Of Orange Twp,"1,391,457","110,474,193",5829.5,"6,678,571",90.2,30,5,16,0,1,1,71,0,0
Essex,4530,Roseland Boro,"170,148","704,010",441,"514,841",95,7,7,19,1,1,1,2,1,0
Essex,4900,South Orange-Maplewood,"1,635,743","9,294,342",6891,"7,865,043",91.5,96,0,109,0,1,1,12,1,0
